"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
129,144,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),98%,473,124M,768,512,29.14,32.24,26.07,13.07,45.37,-2.37,12.65,65.19,29.56,6.63,35.38
130,131,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),99%,29,7M,256,Infinite,29.12,37.23,31.38,14.51,44.97,-0.13,11.53,70.97,38.11,24.74,48.58
131,136,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),99%,45,11M,312,512,28.74,33.85,28.37,17.08,43.85,-0.89,13.86,67.0,33.18,12.09,40.44
132,142,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,408,107M,768,512,28.12,32.97,27.43,15.53,43.81,-0.61,13.11,64.46,33.51,12.76,36.2
133,148,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,1629,427M,1024,512,27.55,30.05,25.39,13.22,40.66,0.56,13.7,62.84,32.13,7.8,30.07
134,140,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,418,109M,768,514,27.4,35.2,29.46,15.13,44.37,-2.84,12.31,70.72,35.84,13.12,49.12
135,133,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,62,32M,512,8192,27.31,35.22,29.11,12.61,43.81,-0.75,11.87,70.76,27.61,13.45,55.34
136,138,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,516,135M,768,512,27.3,34.15,29.15,21.72,41.31,0.57,13.07,69.42,30.72,15.75,42.49
137,147,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,1629,427M,1024,512,27.07,31.21,26.56,13.89,40.91,-0.48,13.71,65.22,34.6,8.47,35.7
138,145,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,516,135M,768,512,26.42,33.11,28.18,19.05,40.86,1.07,12.11,68.76,30.14,12.74,42.51
139,146,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,621,162M,768,512,25.58,32.14,26.76,14.54,41.88,-0.17,11.67,68.65,28.05,9.19,41.49
140,149,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,158,98M,1024,512,23.89,31.12,26.6,12.65,39.03,0.92,12.14,64.88,32.09,10.63,43.16
141,150,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,262,137M,768,8192,21.12,28.04,24.17,0.9,34.2,-1.64,10.39,68.24,31.6,10.7,42.03
142,16,[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1),92%,3802,1B,8960,131072,,,,60.63,,0.26,22.66,,,55.12,71.5
143,34,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,Unknown,Unknown,1024,32000,,,,60.07,,1.35,,76.18,63.36,66.13,68.52
144,66,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,Unknown,Unknown,1024,32000,,,,64.5,,,,75.8,,,68.58
145,82,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,Unknown,Unknown,1024,16000,,,,46.93,,,,77.82,,,70.13
146,108,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,Unknown,Unknown,Unknown,Unknown,,,,18.6,,-1.32,,73.3,,,
