,Model,AlloProfClusteringS2S.v2,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,BigPatentClustering.v2,BiorxivClusteringP2P.v2,CLSClusteringP2P.v2,HALClusteringS2S.v2,MasakhaNEWSClusteringS2S,MedrxivClusteringP2P.v2,PlscClusteringP2P.v2,SIB200ClusteringS2S,StackExchangeClustering.v2,SwednClusteringP2P,WikiCitiesClustering,WikiClusteringP2P.v2
134,potion-base-2M,18.4651,51.5629,49.7898,33.076299999999996,28.091500000000003,11.9314,5.4676,30.369387500000002,29.9898,61.894400000000005,2.9964756345177666,49.1211,5.0483,61.247099999999996,19.73675
135,static-similarity-mrl-multilingual-v1,20.644399999999997,47.7162,39.8134,29.509900000000002,29.3004,29.6145,8.4489,30.606168750000002,27.600599999999996,62.9132,5.913661421319797,30.570000000000004,12.2317,63.043499999999995,19.65103571428571
136,voyage-law-2,,58.720099999999995,57.6306,,42.4429,,,38.79339832368154,36.8791,,,56.5795,,,
137,rubert-base-cased,19.0534,50.0572,49.8966,25.095200000000002,18.4333,11.9984,11.1733,30.740531249999997,24.4953,64.7223,22.485140604002662,41.3124,2.73845,53.5697,17.003392857142856
138,M2V_base_glove,14.3294,53.4444,45.6268,31.184299999999997,34.664699999999996,5.0533,4.3055,27.891750000000005,32.0937,63.517999999999994,3.0281746192893397,42.0781,3.69785,68.082,17.452642857142855
139,mini-gte,,58.506899999999995,56.665200000000006,,43.7065,,,,38.040600000000005,,,60.84739999999999,,,
140,voyage-code-2,,58.3721,58.164300000000004,,41.2579,,,35.178146677324676,35.8555,,,58.4565,,,
141,rubert-tiny,17.3352,51.402300000000004,49.1871,29.5266,23.150499999999997,7.052700000000001,8.0483,30.220525000000002,27.452700000000004,64.1925,4.694754822335024,46.4793,3.53655,39.9476,18.72952857142857
142,deberta-v1-base,16.493199999999998,49.234899999999996,47.443999999999996,20.1112,15.0437,6.1186,4.3155,29.367699999999996,23.8979,65.1899,37.04526355152567,40.7468,3.02425,51.3324,18.56669285714286
143,rubert-tiny2,16.1847,50.8803,48.3824,27.7781,24.6129,9.3387,6.5756,34.101743750000004,26.866,63.605999999999995,4.822196954314723,43.2543,2.171,49.2865,19.079171428571428
144,distilrubert-small-cased-conversational,13.989899999999999,48.8063,49.0006,22.3879,16.6814,6.4014,3.4104,30.00785,24.0616,64.3485,37.91563408569048,40.408500000000004,0.80415,36.6417,17.46745
145,M2V_base_output,16.9987,51.5478,44.1535,29.8021,28.961399999999998,12.645500000000002,3.659,28.888600000000004,28.662,62.633300000000006,2.9996142131979693,39.2502,5.6305,57.8062,19.235635714285714
146,voyage-code-3,,55.910000000000004,57.944700000000005,,41.6871,,,,36.7373,,,62.03530000000001,,,
147,voyage-2,,57.4792,54.5789,,41.6405,,,36.33106838853807,36.315,,,56.1847,,,
148,text-embedding-005,,57.316900000000004,56.1114,,40.8443,,,,36.6714,,,90.93050000000001,,,
149,voyage-large-2,,58.3721,58.164300000000004,,41.2579,,,,35.8555,,,58.4565,,,
150,sbert_large_nlu_ru,16.467200000000002,47.1767,46.4005,26.2631,15.447099999999999,7.4403999999999995,6.4769,30.2817625,24.988599999999998,64.1117,4.812570050761419,42.5522,3.42685,45.6421,19.300742857142854
151,text-embedding-004,,57.0909,54.824799999999996,,39.9298,,,,36.797999999999995,,,91.3485,,,
152,b1ade-embed,,61.2698,60.082899999999995,,42.2383,,,,37.081599999999995,,,,,,
153,silma-embeddding-matryoshka-v0.1,13.4389,48.4272,47.126200000000004,21.8677,17.5322,10.5595,4.9587,31.185168750000003,24.756700000000002,62.622299999999996,5.594352284263956,41.8662,4.31395,44.0848,20.044500000000003
154,Arabic-mpnet-base-all-nli-triplet,12.931000000000001,50.11409999999999,50.15540000000001,23.985799999999998,18.9942,10.681000000000001,4.7736,29.539168750000005,25.6811,60.8742,3.2352314720812183,38.8088,5.820099999999999,47.9266,18.681
155,voyage-finance-2,,57.776,57.073499999999996,,40.8104,,,,35.4833,,,57.813199999999995,,,
156,sbert_large_mt_nlu_ru,15.8324,46.6827,48.2583,27.514,14.4841,8.3649,6.7286,30.09350624999999,23.7572,61.55779999999999,4.9384593908629455,43.143,3.6068500000000006,39.8649,18.991
157,jina-embeddings-v2-small-en,15.909699999999999,48.3147,49.6587,22.5739,20.8927,12.0785,4.844600000000001,30.63721875,24.4033,62.26930000000001,2.5217644670050756,42.3103,1.55695,43.0689,17.70032857142857
158,voyage-3-m-exp,,55.9641,59.3684,,40.6559,,,,35.017700000000005,,,56.1311,,,
159,Arabert-all-nli-triplet-Matryoshka,17.3833,48.3142,47.1701,21.435499999999998,15.0496,9.6483,4.0680000000000005,29.3277,23.1878,62.737500000000004,5.759283756345179,41.4071,1.8114000000000001,39.6064,18.917478571428568
160,Marbert-all-nli-triplet-Matryoshka,12.4566,48.551,46.237899999999996,22.9192,12.2309,8.0807,4.3525,30.135524999999998,21.6372,62.972300000000004,4.373053299492384,39.5394,1.4242000000000001,36.9448,18.564864285714286
161,udever-bloom-560m,10.8073,52.5478,49.196,,24.107300000000002,21.5088,4.0832,25.915743750000004,27.3613,63.846000000000004,2.071704568527919,42.4133,0.742,,
162,ternary-weight-embedding,7.588699999999999,47.562599999999996,45.7884,17.058799999999998,10.268099999999999,10.3101,3.5397,26.19625,22.1333,63.956599999999995,2.255371065989847,37.5317,1.19055,32.4904,16.369057142857145
163,jina-embeddings-v2-base-en,3.543,47.1547,47.4875,20.0592,5.7369,3.1522,2.1189,25.3374625,15.453,64.5305,1.4042695431472079,35.0735,0.30345,21.554100000000002,8.773928571428574
164,MicroLlama-text-embedding,,56.81659433257183,49.94804999366301,,32.876466058527356,,,,34.17461183286095,,,,,,
165,bge-multilingual-gemma2,,,,,,,,67.23960512566751,,,,,,,
166,xlm-roberta-ua-distilled,,,,,,,,,,,40.4126,,,,
167,text-embedding-ada-002,,,,,,,,48.57524685115383,,,,,,,
168,lodestone-base-4096-v1,3.9475000000000002,,43.8643,,,,2.3298,25.456556250000002,,,1.6462360406091365,36.972300000000004,,,
169,static-retrieval-mrl-en-v1,,46.593,38.5963,,33.4734,,,,30.5872,,,30.388900000000003,,,
170,nb-sbert-base,,,,,,,,,,,,,30.6823,,
171,sentence-t5-xxl,,,,,,,,38.239213236452215,,,,,,,
172,pubmedbert-base-embeddings-2M,,,,,,,,,35.3868,,,,,,
173,pubmedbert-base-embeddings-1M,,,,,,,,,35.071000000000005,,,,,,
174,sentence-t5-base,,,,,,,,35.642629923418795,,,,,,,
175,pubmedbert-base-embeddings-8M,,,,,,,,,34.605599999999995,,,,,,
176,pubmedbert-base-embeddings-500K,,,,,,,,,34.251599999999996,,,,,,
177,pubmedbert-base-embeddings-100K,,,,,,,,,32.9027,,,,,,
178,sentence-t5-xl,,,,,,,,31.738619278159536,,,,,,,
179,SONAR,,,,,,,,,,,,,,50.71744674029636,
180,sentence-t5-large,,,,,,,,31.33479963331417,,,,,,,
181,multi-qa-MiniLM-L6-cos-v1,,,,,,,,27.268380581314165,,,,,,,
